name,description,address,website,url
5leys Holiday Accommodation-Filey - APT 5,,"Apt 5, The Beach, Filey, North Yorkshire, YO14 9LA",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-apt-5-2117926
4 Wellgarth,"4 Wellgarth is a self catering terraced stone cottage located in Malton. The cottage provides comfortable accommodation for four people - accommodation comprises lounge, dining area and fully fitted kitchen, including microwave, washer and tumble dryer.  Digital colour TV, video and music centre in lounge.  First floor sleeping arrangement consists of 1 double room and one twin bedded room (one single bed 2'6).  Bathroom facilities are on same floor.  There is room for a cot and a high chair is available on request.  Heating and hot water either by open fire or metered electricity.  All bed linen, towels and tea towels are included.  Pleasant garden and off road parking.  Sorry no pets.  ","4 Wellgarth, Swinton, Malton, North Yorkshire, YO17 6SS",http://www.ryedaleholidaycottage.co.uk/,https://www.yorkshire.com/view/accommodation/malton/4-wellgarth-73797
5leys Holiday Accommodation-Filey - APT 3,,"Apt 3, The Beach, Filey, North Yorkshire, YO14 9LA",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-apt-3-2117914
1 East Row Lodge,"This lovely property is a fabulous ground floor apartment and beach hut-style annex on the seafront with superb views, decked garden and private parking.","1 East Row Lodge, East Row, Sandsend, North Yorkshire, YO21 3SU",http://www.yorkshirecoastalcottages.com/search/property/east_row_lodge,https://www.yorkshire.com/view/accommodation/sandsend/1-east-row-lodge-1212202
5leys Holiday Accommodation-Filey - Beach Approach Cottage,"Beach Approach Cottage  is literally 30 meters from Filey's award winning beach with its sands , rock pools & filey brigg.","Beach Approach Cottage, Beach Approach, Filey, North Yorkshire, YO14 9LB",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-beach-approach-cottage-2117831
5leys Holiday Accommodation-Filey - APT 12,,"Apt 12, The Beach, Filey, North Yorkshire, YO14 9LB",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-apt-12-2117902
50 West Avenue,"An elegant Victorian house in the centre of Filey, a thriving small sea-side fishing town popular with families, fishermen and sailors.","50 West Avenue, Filey, North Yorkshire, YO14 9BE",http://www.fileyholidayhouse.co.uk,https://www.yorkshire.com/view/accommodation/filey/50-west-avenue-1195097
10 St Marys,"From the owners of Lendal Tower comes this stunning Victorian townhouse which has been completely renovated to create a truly unique property in the heart of York, providing an exceptional luxury experience for your stay. From first enquiry to departure, the aim is to provide unparalleled levels of service and comfort at 10 St Marys for years to come.","10 St Marys, York, North Yorkshire, YO30 7DD",http://www.10stmarys.co.uk/booking.html,https://www.yorkshire.com/view/accommodation/york/10-st-marys-1820632
5leys Holiday Accommodation-Filey - Beachside,Welcomes Pets,"Beachside, The Beach, Filey, North Yorkshire, YO14 9LA",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-beachside-2117976
30 Frenchgate,"30 Frenchgate is an elegant grade 2 listed Georgian town house dating back to the late 18th century, situated in the most popular residential quarter of the historic market town of Richmond, North Yorkshire, a town of unique character and beauty which has changed little throughout the centuries. ","30 Frenchgate , Richmond, North Yorkshire, DL10 7AG",http://www.holidayathome.co.uk/30frenchgate/booking-overview/,https://www.yorkshire.com/view/accommodation/richmond/30-frenchgate-2030111
5leys Holiday Accommodation-Filey - The Lawns,,"The Lawns, Rutland Street, Filey, North Yorkshire, YO14 9JA",http://www.5leys.co.uk,https://www.yorkshire.com/view/accommodation/filey/5leys-holiday-accommodation-filey-the-lawns-2117957
Abbot's Leigh Guest House,"Abbots Leigh is a four star award guest house, situated in a pleasant Victorian Terrace in the heart of Filey, close to the beach and gardens and all the town centre amenities, only a few minutes walk from the bus and rail station. Due to our location we can offer secure off street parking for motorbikes and cycles.","7 Rutland Street, Filey, North Yorkshire, YO14 9JA",http://www.abbotsleighguesthouse.co.uk,https://www.yorkshire.com/view/accommodation/filey/abbots-leigh-guest-house-78579
